"","year","country","c_name","area","income"
"101",2003,"GTM","Guatemala","Rural",589.871690567568
"102",2003,"PER","Peru","Rural",70.2864467849224
"103",2003,"PRY","Paraguay","Rural",563146.370561697
"104",2003,"SLV","El Salvador","Rural",118.861418869211
"105",2004,"ARG","Argentina","Urban",239.196482083316
"106",2004,"BRA","Brazil","Urban",767.07018587254
"107",2004,"COL","Colombia","Urban",255505.470297408
"108",2004,"CRI","Costa Rica","Urban",172476.501379099
"109",2004,"DOM","Dominican Republic","Urban",8031.13970404292
"110",2004,"ECU","Ecuador","Urban",259.631998166294
"111",2004,"GTM","Guatemala","Urban",1286.70100696611
"112",2004,"MEX","Mexico","Urban",4227.50188617899
"113",2004,"PER","Peru","Urban",242.836233751597
"114",2004,"PRY","Paraguay","Urban",979290.472154255
"115",2004,"SLV","El Salvador","Urban",265.274068586162
"116",2004,"URY","Uruguay","Urban",3043.01941795348
"117",2004,"BRA","Brazil","Rural",386.866798549291
"118",2004,"COL","Colombia","Rural",99100.6620035112
"119",2004,"CRI","Costa Rica","Rural",109450.236576411
"120",2004,"DOM","Dominican Republic","Rural",5330.31133085073
"121",2004,"ECU","Ecuador","Rural",122.170215698436
"122",2004,"GTM","Guatemala","Rural",729.922652444751
"123",2004,"MEX","Mexico","Rural",1634.91796874847
"124",2004,"PER","Peru","Rural",84.4569454191332
"125",2004,"PRY","Paraguay","Rural",585774.107890512
"126",2004,"SLV","El Salvador","Rural",149.774147868954
"127",2005,"ARG","Argentina","Urban",308.415027475135
"128",2005,"BOL","Bolivia","Urban",1225.18927161357
"129",2005,"BRA","Brazil","Urban",843.44415899176
"130",2005,"COL","Colombia","Urban",285253.523635551
"131",2005,"CRI","Costa Rica","Urban",193952.889451477
"132",2005,"DOM","Dominican Republic","Urban",9741.88785364751
"133",2005,"ECU","Ecuador","Urban",260.847733792312
"134",2005,"MEX","Mexico","Urban",4220.45677891997
"135",2005,"PER","Peru","Urban",241.601524316994
"136",2005,"PRY","Paraguay","Urban",1191107.70826503
"137",2005,"SLV","El Salvador","Urban",238.022640832374
"138",2005,"URY","Uruguay","Urban",3241.90953577747
"139",2005,"BOL","Bolivia","Rural",348.894503145339
"140",2005,"BRA","Brazil","Rural",413.868444398059
