"","year","country","c_name","sex","income"
"97",2003,"GTM","Guatemala","Hombre",1627.31596539556
"98",2003,"PER","Peru","Hombre",238.686766270615
"99",2003,"PRY","Paraguay","Hombre",885744.224102041
"100",2003,"SLV","El Salvador","Hombre",196.084589972543
"101",2003,"URY","Uruguay","Hombre",3625.33578946512
"102",2003,"ARG","Argentina","Mujer",400.405498738212
"103",2003,"BOL","Bolivia","Mujer",943.507462630269
"104",2003,"BRA","Brazil","Mujer",538.269194249638
"105",2003,"CHL","Chile","Mujer",188302.737508973
"106",2003,"COL","Colombia","Mujer",152756.223332407
"107",2003,"CRI","Costa Rica","Mujer",106354.147629526
"108",2003,"DOM","Dominican Republic","Mujer",5065.25702385321
"109",2003,"ECU","Ecuador","Mujer",142.236134144094
"110",2003,"GTM","Guatemala","Mujer",1097.58219441748
"111",2003,"PER","Peru","Mujer",88.4685717515303
"112",2003,"PRY","Paraguay","Mujer",607505.794842831
"113",2003,"SLV","El Salvador","Mujer",176.799899433343
"114",2003,"URY","Uruguay","Mujer",1732.42522572927
"115",2004,"ARG","Argentina","Hombre",331.428688379503
"116",2004,"BRA","Brazil","Hombre",821.095991247451
"117",2004,"COL","Colombia","Hombre",327728.633201153
"118",2004,"CRI","Costa Rica","Hombre",146389.229039449
"119",2004,"DOM","Dominican Republic","Hombre",7958.28402034088
"120",2004,"ECU","Ecuador","Hombre",221.121583227197
"121",2004,"GTM","Guatemala","Hombre",1365.17193025536
"122",2004,"MEX","Mexico","Hombre",4303.80855755392
"123",2004,"PER","Peru","Hombre",256.814476465785
"124",2004,"PRY","Paraguay","Hombre",889679.746292289
"125",2004,"SLV","El Salvador","Hombre",227.582731111428
"126",2004,"URY","Uruguay","Hombre",4307.2008622989
"127",2004,"ARG","Argentina","Mujer",155.112917540746
"128",2004,"BRA","Brazil","Mujer",578.345626611331
"129",2004,"COL","Colombia","Mujer",156691.960358127
"130",2004,"CRI","Costa Rica","Mujer",115584.209949239
"131",2004,"DOM","Dominican Republic","Mujer",5826.08900950189
"132",2004,"ECU","Ecuador","Mujer",154.976965708348
"133",2004,"GTM","Guatemala","Mujer",948.502830119106
"134",2004,"MEX","Mexico","Mujer",2172.76355778791
"135",2004,"PER","Peru","Mujer",95.3831356358208
"136",2004,"PRY","Paraguay","Mujer",592734.194837693
"137",2004,"SLV","El Salvador","Mujer",194.447980239396
"138",2004,"URY","Uruguay","Mujer",1933.54594094004
"139",2005,"ARG","Argentina","Hombre",430.715627214741
"140",2005,"BOL","Bolivia","Hombre",997.445559447661
"141",2005,"BRA","Brazil","Hombre",897.107783815991
"142",2005,"COL","Colombia","Hombre",362657.50948065
"143",2005,"CRI","Costa Rica","Hombre",170761.404755422
"144",2005,"DOM","Dominican Republic","Hombre",9676.78975877966
"145",2005,"ECU","Ecuador","Hombre",227.177797970619
"146",2005,"MEX","Mexico","Hombre",3995.14439788004
"147",2005,"PER","Peru","Hombre",248.133709710127
"148",2005,"PRY","Paraguay","Hombre",1045940.2124507
"149",2005,"SLV","El Salvador","Hombre",205.435467385257
"150",2005,"URY","Uruguay","Hombre",4459.24433238434
"151",2005,"ARG","Argentina","Mujer",197.218783351121
"152",2005,"BOL","Bolivia","Mujer",511.79688123655
"153",2005,"BRA","Brazil","Mujer",640.277351653329
"154",2005,"COL","Colombia","Mujer",178690.393370044
"155",2005,"CRI","Costa Rica","Mujer",125707.632594195
"156",2005,"DOM","Dominican Republic","Mujer",7259.99895861465
"157",2005,"ECU","Ecuador","Mujer",165.99755412628
"158",2005,"MEX","Mexico","Mujer",1921.50090132624
"159",2005,"PER","Peru","Mujer",95.25995001342
"160",2005,"PRY","Paraguay","Mujer",769737.883450331
"161",2005,"SLV","El Salvador","Mujer",169.090884338284
"162",2005,"URY","Uruguay","Mujer",2181.77189782335
"163",2006,"ARG","Argentina","Hombre",563.211307842536
"164",2006,"BOL","Bolivia","Hombre",1250.15703918598
"165",2006,"BRA","Brazil","Hombre",975.662423846823
"166",2006,"CHL","Chile","Hombre",316285.13862048
"167",2006,"CRI","Costa Rica","Hombre",197182.915837184
"168",2006,"DOM","Dominican Republic","Hombre",10620.5102646995
"169",2006,"ECU","Ecuador","Hombre",250.962562888429
"170",2006,"GTM","Guatemala","Hombre",1875.51723921943
"171",2006,"MEX","Mexico","Hombre",4052.54332550999
"172",2006,"PER","Peru","Hombre",287.619752538694
"173",2006,"PRY","Paraguay","Hombre",1026914.4368623
"174",2006,"SLV","El Salvador","Hombre",215.781728992365
"175",2006,"URY","Uruguay","Hombre",3129.38730963025
"176",2006,"ARG","Argentina","Mujer",259.204068017731
"177",2006,"BOL","Bolivia","Mujer",626.725894669675
"178",2006,"BRA","Brazil","Mujer",709.79909529816
"179",2006,"CHL","Chile","Mujer",232228.138109283
"180",2006,"CRI","Costa Rica","Mujer",149148.911863806
"181",2006,"DOM","Dominican Republic","Mujer",7872.54246374275
"182",2006,"ECU","Ecuador","Mujer",183.807692307692
"183",2006,"GTM","Guatemala","Mujer",1322.29278432074
"184",2006,"MEX","Mexico","Mujer",1962.26104323541
"185",2006,"PER","Peru","Mujer",111.228529684105
"186",2006,"PRY","Paraguay","Mujer",743076.610989163
"187",2006,"SLV","El Salvador","Mujer",178.499102785506
"188",2006,"URY","Uruguay","Mujer",2814.05001612163
"189",2007,"ARG","Argentina","Hombre",756.383101539293
"190",2007,"BOL","Bolivia","Hombre",1232.11805142803
"191",2007,"BRA","Brazil","Hombre",1061.51086658614
"192",2007,"CRI","Costa Rica","Hombre",239629.127274245
"193",2007,"DOM","Dominican Republic","Hombre",10793.7191704992
"194",2007,"ECU","Ecuador","Hombre",284.236680221041
"195",2007,"PER","Peru","Hombre",344.959953176096
"196",2007,"PRY","Paraguay","Hombre",1412120.50416358
"197",2007,"SLV","El Salvador","Hombre",235.305817940191
"198",2007,"URY","Uruguay","Hombre",5659.2227382891
"199",2007,"ARG","Argentina","Mujer",347.842100373186
"200",2007,"BOL","Bolivia","Mujer",654.95054833964
"201",2007,"BRA","Brazil","Mujer",766.819536546102
"202",2007,"CRI","Costa Rica","Mujer",170514.474980514
"203",2007,"DOM","Dominican Republic","Mujer",8076.66304897043
"204",2007,"ECU","Ecuador","Mujer",204.331933174224
"205",2007,"PER","Peru","Mujer",138.896619141377
"206",2007,"PRY","Paraguay","Mujer",900345.278603978
"207",2007,"SLV","El Salvador","Mujer",190.139112673817
"208",2007,"URY","Uruguay","Mujer",2619.37226601346
"209",2008,"ARG","Argentina","Hombre",877.622982179414
"210",2008,"BOL","Bolivia","Hombre",1462.85172239599
"211",2008,"BRA","Brazil","Hombre",1162.11834169837
"212",2008,"COL","Colombia","Hombre",751358.354778078
"213",2008,"CRI","Costa Rica","Hombre",273723.564405889
"214",2008,"DOM","Dominican Republic","Hombre",10382.1500326822
"215",2008,"ECU","Ecuador","Hombre",307.386614817847
"216",2008,"MEX","Mexico","Hombre",4394.22546488537
"217",2008,"PER","Peru","Hombre",388.686646414385
"218",2008,"PRY","Paraguay","Hombre",1439652.60645526
"219",2008,"SLV","El Salvador","Hombre",265.898951076741
"220",2008,"URY","Uruguay","Hombre",6849.78430404277
"221",2008,"ARG","Argentina","Mujer",427.105372284459
"222",2008,"BOL","Bolivia","Mujer",696.299396671845
"223",2008,"BRA","Brazil","Mujer",840.187042933368
"224",2008,"COL","Colombia","Mujer",569204.873567056
"225",2008,"CRI","Costa Rica","Mujer",203741.85092437
"226",2008,"DOM","Dominican Republic","Mujer",8012.54536493625
"227",2008,"ECU","Ecuador","Mujer",227.51341137432
"228",2008,"MEX","Mexico","Mujer",2170.48291634971
"229",2008,"PER","Peru","Mujer",147.825732707204
"230",2008,"PRY","Paraguay","Mujer",978031.494769716
"231",2008,"SLV","El Salvador","Mujer",212.58669091292
